sort,school,explanatory_variables,response_type,response_variable,model_name,optimal_cutoff,auc,true_positives,false_positives,true_negatives,false_negatives,naive_accuracy
1,wgu,base,binary,OnTime_Term1,wgu_base_OnTime_Term1,,,,,,,
2,wgu,base,binary,OnTime_Term2,wgu_base_OnTime_Term2,,,,,,,
3,wgu,base,binary,Retained,wgu_base_Retained,,,,,,,
4,wgu,base,binary,CreditRatio_Term1,wgu_base_CreditRatio_Term1_bin,,,,,,,
5,wgu,base,binary,CreditRatio_Term2,wgu_base_CreditRatio_Term2_bin,,,,,,,
6,wgu,base,continuous,CreditRatio_Term1,wgu_base_CreditRatio_Term1_cts,,,,,,,
7,wgu,base,continuous,CreditRatio_Term2,wgu_base_CreditRatio_Term2_cts,,,,,,,
8,wgu,daacs,binary,OnTime_Term1,wgu_daacs_OnTime_Term1,,,,,,,
9,wgu,daacs,binary,OnTime_Term2,wgu_daacs_OnTime_Term2,,,,,,,
10,wgu,daacs,binary,Retained,wgu_daacs_Retained,,,,,,,
11,wgu,daacs,binary,CreditRatio_Term1,wgu_daacs_CreditRatio_Term1_bin,,,,,,,
12,wgu,daacs,binary,CreditRatio_Term2,wgu_daacs_CreditRatio_Term2_bin,,,,,,,
13,wgu,daacs,continuous,CreditRatio_Term1,wgu_daacs_CreditRatio_Term1_cts,,,,,,,
14,wgu,daacs,continuous,CreditRatio_Term2,wgu_daacs_CreditRatio_Term2_cts,,,,,,,
15,ec,base,binary,SuccessTerm1,ec_base_SuccessTerm1,,,,,,,
16,ec,base,binary,SuccessTerm2,ec_base_SuccessTerm2,,,,,,,
17,ec,base,binary,Retained,ec_base_Retained,,,,,,,
18,ec,base,binary,CreditRatio_Term1,ec_base_CreditRatio_Term1_bin,,,,,,,
19,ec,base,binary,CreditRatio_Term2,ec_base_CreditRatio_Term2_bin,,,,,,,
20,ec,base,continuous,CreditRatio_Term1,ec_base_CreditRatio_Term1_cts,,,,,,,
21,ec,base,continuous,CreditRatio_Term2,ec_base_CreditRatio_Term2_cts,,,,,,,
22,ec,daacs,binary,SuccessTerm1,ec_daacs_SuccessTerm1,,,,,,,
23,ec,daacs,binary,SuccessTerm2,ec_daacs_SuccessTerm2,,,,,,,
24,ec,daacs,binary,Retained,ec_daacs_Retained,,,,,,,
25,ec,daacs,binary,CreditRatio_Term1,ec_daacs_CreditRatio_Term1_bin,,,,,,,
26,ec,daacs,binary,CreditRatio_Term2,ec_daacs_CreditRatio_Term2_bin,,,,,,,
27,ec,daacs,continuous,CreditRatio_Term1,ec_daacs_CreditRatio_Term1_cts,,,,,,,
28,ec,daacs,continuous,CreditRatio_Term2,ec_daacs_CreditRatio_Term2_cts,,,,,,,
