School,Explanatory variables,Response variable,naive accuracy,sl accuracy,rf accuracy
EC,Base,T1 success,0.797,0.801,0.793
EC,Base,T2 success,0.525,0.572,0.538
EC,Base,Retention,0.592,0.604,0.572
EC,Base,T1 credit ratio,0.813,0.819,0.815
EC,Base,T2 credit ratio,0.505,0.578,0.548
EC,DAACS,T1 success,0.777,0.79,0.796
EC,DAACS,T2 success,0.567,0.611,0.592
EC,DAACS,Retention,0.65,0.656,0.694
EC,DAACS,T1 credit ratio,0.828,0.822,0.828
EC,DAACS,T2 credit ratio,0.58,0.592,0.662
WGU,Base,T1 success,0.696,0.7,0.695
WGU,Base,T2 success,0.617,0.619,0.603
WGU,Base,Retention,0.761,0.76,0.748
WGU,Base,T1 credit ratio,0.569,0.603,0.584
WGU,Base,T2 credit ratio,0.7,0.701,0.686
WGU,DAACS,T1 success,0.702,0.729,0.725
WGU,DAACS,T2 success,0.622,0.645,0.628
WGU,DAACS,Retention,0.754,0.754,0.754
WGU,DAACS,T1 credit ratio,0.596,0.666,0.64
WGU,DAACS,T2 credit ratio,0.704,0.714,0.704
